"GEOID","hate","nohate","Hate Percent","Case Rate","Death Rate","Percent Asian","Percent Foreign Born","Percent NH White","Population Density","Income Inequality","Percent Below Poverty"
"40009",0,185,0,286.139066788655,4.89478499542543,0.224153705397987,3.54986276303751,69.9817017383349,9.33612614515377,4.6208272689,2.94602012808783
"40011",0,27,0,270.244722193047,4.62136330217414,0.0420123936561286,8.92763365192732,67.7764940657494,3.91639647121663,4.558971703,2.33168784791514
"40013",0,754,0,309.413629160063,2.91600633914422,0.650818806127839,2.63708399366086,69.3861595351294,19.3542763005909,4.6347034367,3.02588483888008
"40015",0,78,0,302.443538161006,5.89465026217485,0.520922581308475,5.90150450666575,55.5844956989616,8.73253909041749,4.6596454088,3.69786490284108
"40019",0,555,0,320.917734601075,5.00206696982224,1.27118644067797,3.50764778834229,68.1087226126499,22.3988810694942,4.3700698776,3.2534105002067
"40021",0,1106,0,317.120582758691,3.17161506824088,0.853266763520288,3.35577336252583,46.0293425548894,24.3064386883635,4.8657552397,3.21867774344703
"40023",0,56,0,292.65974061248,4.34575948937326,0.129014734840769,1.37163033883344,58.8714605826034,7.10896547882787,5.8016516049,5.52047260134447
"40025",0,6,0,282.538212135248,3.2422417786012,0,7.73506252894859,74.8031496062992,0.452980737544347,3.6747524985,2.77906438165818
"40029",0,0,0,318.809395732473,4.30338891877353,0.64550833781603,1.05791644253183,66.5949435180204,4.12929226573907,5.7014316296,4.66200466200466
"40031",0,3681,0,287.928221859706,3.31207672153839,2.64307017977491,5.88758712739137,50.0024716990459,43.2366539629436,4.3808629555,2.72628404765436
"40033",0,15,0,264.222721770707,5.53346014179492,0,0.553346014179492,74.3731627183123,3.47580964208382,4.6944540642,3.90800622514266
"40035",0,249,0,357.92349726776,3.85315959086451,0.826677875858204,1.68838447526972,59.7099621689786,7.22793730995221,3.8948326055,3.41880341880342
"40041",0,189,0,277.859666362509,4.81972812989869,1.22832877096933,1.98404342434665,62.7851477504036,20.8339060131503,4.1880849721,3.45803794950984
"40043",0,3,0,227.430910951894,6.7553735926305,0.122824974411464,2.31320368474923,79.5905834186285,1.87114225304261,4.6322691256,2.08802456499488
"40045",0,3,0,220.782520325203,2.79471544715447,0.609756097560976,2.59146341463415,85.0863821138211,1.23404188599909,4.8167154672,2.38821138211382
"40049",0,189,0,269.423153046169,5.36183381913707,0.0899636546835079,3.46180143222138,73.701824462917,13.1834859402777,4.6592511358,2.79247184137608
"40051",0,638,0,263.436680827985,4.51956973696104,0.377836030009943,1.78974961583657,80.2820211515864,19.3284621853812,4.4778764602,1.8331374853114
"40053",0,4,0,248.569466697185,3.66216525520714,0.160219729915312,0.755321583886473,84.4357976653696,1.68139424478391,3.8850308354,1.46486610208286
"40055",0,19,0,233.678756476684,6.56303972366149,0,1.26079447322971,65.0431778929188,3.47307634343281,4.400515132,2.7979274611399
"40057",0,1,0,214.044310927525,4.50619601952685,0.450619601952685,6.27112279384153,53.3233195644011,1.908149103452,4.8926420529,2.81637251220428
"40059",0,0,0,202.680965147453,3.2171581769437,0,11.5817694369973,73.8605898123324,1.3839504053859,4.3994317401,2.5201072386059
"40061",0,53,0,232.97604035309,3.31021437578815,0.87484237074401,2.34079445145019,68.9706809583859,7.83551398944176,4.8516874927,4.21658259773014
"40063",0,61,0,209.423294383717,4.74934036939314,0.158311345646438,1.61326799849227,57.180550320392,6.28399437768501,4.7552588997,2.99283829626838
"40065",0,433,0,283.053853595614,4.35343437600774,1.39874234118026,4.96613995485327,58.2392776523702,11.908317888651,4.456150883,2.62818445662689
"40067",0,2,0,228.79684418146,4.27350427350427,0.0164365548980934,2.64628533859303,75.5424063116371,3.03391983960683,4.8775081967,3.68178829717291
"40069",0,36,0,292.528110264781,5.07798331519768,0.063474791439971,1.55966630395357,68.1447225244831,6.46577852988213,4.8868150577,3.41857091040987
"40071",0,604,0,298.702182692744,4.92353768661796,0.487815945909153,2.69773562644643,72.503063030358,18.0141943308734,4.4903568717,3.18782048373191
"40073",0,185,0,274.808677503004,4.49054455758649,1.89108848270192,9.98039339700209,74.4797925494909,6.73835302866323,4.0355344251,2.1630510404149
